ACCESSIONNUMBER	IS_PRIMARYISSUER_FLAG	ISSUER_SEQ_KEY	CIK	ENTITYNAME	STREET1	STREET2	CITY	STATEORCOUNTRY	STATEORCOUNTRYDESCRIPTION	ZIPCODE	ISSUERPHONENUMBER	JURISDICTIONOFINC	ISSUER_PREVIOUSNAME_1	ISSUER_PREVIOUSNAME_2	ISSUER_PREVIOUSNAME_3	EDGAR_PREVIOUSNAME_1	EDGAR_PREVIOUSNAME_2	EDGAR_PREVIOUSNAME_3	ENTITYTYPE	ENTITYTYPEOTHERDESC	YEAROFINC_TIMESPAN_CHOICE	YEAROFINC_VALUE_ENTERED
0000899083-22-000002	YES	101	0001251565	WYNNEFIELD PARTNERS SMALL CAP VALUE LP I	450 SEVENTH AVENUE	SUITE 509	NEW YORK	NY	NEW YORK	10123	212-760-0814	DELAWARE							Limited Partnership		overFiveYears	
0000899083-22-000001	YES	101	0000899083	WYNNEFIELD PARTNERS SMALL CAP VALUE LP	450 SEVENTH AVENUE	SUITE 509	NEW YORK	NY	NEW YORK	10123	212-760-0814	DELAWARE							Limited Partnership		overFiveYears	
0001936061-22-000002	YES	101	0001936061	Metasports Interactive, Inc.	9304 ARNON CHAPEL ROAD		GREAT FALLS	VA	VIRGINIA	22066	9618076820	DELAWARE							Corporation		withinFiveYears	2022
0001947695-22-000002	YES	101	0001947695	Lykkly, Inc.	27 10TH ST N	SUITE 200	FARGO	ND	NORTH DAKOTA	58102	2182963159	DELAWARE							Corporation		withinFiveYears	2022
0001947543-22-000001	YES	101	0001947543	Summit2Shore Capital, LLC	782 S RIVER ROAD	#372	ST. GEORGE	UT	UTAH	84790	(208) 201-2460	WYOMING							Limited Liability Company		withinFiveYears	2022
0001890257-22-000179	YES	101	0001914702	Palm Tree Crew Daring Partners S-C Sec SPV, LLC	3193 ROYAL PALM AVE		MIAMI BEACH	FL	FLORIDA	33140	650-503-4695	DELAWARE							Limited Liability Company		withinFiveYears	2022
0001683168-22-006541	YES	101	0001943742	POLPO CAPITAL LP	17 PINECREST DRIVE		HASTINGS ON HUDSON	NY	NEW YORK	10706	917-576-3251	DELAWARE							Limited Partnership		withinFiveYears	2021
0001947755-22-000001	YES	101	0001947755	Evolved Outdoors, Inc.	6125 LUTHER LN	#210	DALLAS	TX	TEXAS	75225	9015748384	DELAWARE							Corporation		withinFiveYears	2019
0001671375-22-000002	YES	101	0001671375	Renaissance Institutional Diversified Global Equities Onshore Fund L.P.	C/O RIDGE GP LLC	800 THIRD AVENUE, 35TH FLOOR	NEW YORK	NY	NEW YORK	10022	(212) 821-1537	DELAWARE							Limited Partnership		overFiveYears	
0001870781-22-000001	YES	101	0001870781	Vertex Ventures US Fund III, L.P.	345 CALIFORNIA AVENUE		PALO ALTO	CA	CALIFORNIA	94306	650-285-5224	DELAWARE							Limited Partnership		withinFiveYears	2021
0001779303-22-000001	YES	101	0001779303	Direct Communication Solutions, Inc.	17150 VIA DEL CAMPO	STE 200	SAN DIEGO	CA	CALIFORNIA	92127	858-798-7100	DELAWARE							Corporation		overFiveYears	
0001944074-22-000005	YES	101	0001944074	TKN Holdings Inc.	1S785 Ironwood Lane		Wheaton	IL	ILLINOIS	60189	(773) 865-2353	DELAWARE	TKN Holdings LLC			Token Holdings Inc.	Token Holdings Inc		Corporation		withinFiveYears	2022
0001937855-22-000011	YES	101	0001937855	Shopoff OC Development Fund, LLC	18565 JAMBOREE RD. STE. 200		IRVINE	CA	CALIFORNIA	92612	949-417-1396	DELAWARE							Limited Liability Company		withinFiveYears	2022
0001771065-22-000002	YES	101	0001771065	Renaissance Institutional Diversified Global Equities Offshore Fund L.P.	C/O WALKERS CORPORATE (BERMUDA) LIMITED	PARK PLACE, 55 PAR-LA-VILLE ROAD, 3RD FL	HAMILTON	D0	BERMUDA	HM 11	441-242-1500	BERMUDA							Limited Partnership		overFiveYears	
0001685325-22-000001	YES	101	0001685325	Hunterian Medicine LLC	100 PACIFIC STREET		CAMBRIDGE	MA	MASSACHUSETTS	02139	888-486-8633	DELAWARE	Hunterian Medicine, Inc.						Limited Liability Company		overFiveYears	
0001654954-22-012866	YES	101	0001947769	WRR-Madison #14, LP	6320 Southwest Blvd.	#100	Fort Worth	TX	TEXAS	76109	8177030880	TEXAS							Limited Partnership		withinFiveYears	2022
0001683168-22-006540	YES	101	0001943756	POLPO CAPITAL OFFSHORE LP	17 PINECREST DRIVE		HASTINGS ON HUDSON	NY	NEW YORK	10706	9175763251	CAYMAN ISLANDS							Limited Partnership		withinFiveYears	2022
0001501571-22-000003	YES	101	0001501571	abrdn Institutional Commingled Funds, LLC	C/O ABERDEEN ASSET MANAGEMENT INC.	1900 MARKET STREET, SUITE 200	PHILADELPHIA	PA	PENNSYLVANIA	19103	215-405-5700	DELAWARE	Murray Johnstone International Limited Delaware Business Trust	Aberdeen Delaware Business Trust		Aberdeen Institutional Commingled Funds, LLC			Limited Liability Company		overFiveYears	
0001668172-22-000001	YES	101	0001668172	DRCONSULTA LTD.	Campbells Corporate Services Limited	Floor 4, Willow House, Cricket Square	GRAND CAYMAN	E9	CAYMAN ISLANDS	KY1-9010	000-000-0000	CAYMAN ISLANDS							Other	Exempted Company	overFiveYears	
0001683168-22-006537	YES	101	0001658858	Lookhu, Inc.	8911 INDEPENDENCE AVENUE		CANOGA PARK	CA	CALIFORNIA	91304	310-251-8238	DELAWARE							Corporation		overFiveYears	
0001567619-22-017750	YES	101	0001614077	GPB Scientific, Inc.	2715 Loker Avenue W		Carlsbad	CA	CALIFORNIA	92010	442-291-2110	DELAWARE				GPB Scientific, LLC			Corporation		overFiveYears	
0001944130-22-000001	YES	101	0001944130	Moriah Real Estate Opportunity Fund II, LP	303 WEST WALL STREET	SUITE 2400	MIDLAND	TX	TEXAS	79701	432-682-2510	DELAWARE							Limited Partnership		withinFiveYears	2022
0001916991-22-000003	YES	101	0001825367	RayzeBio, Inc.	5505 MOREHOUSE DRIVE, SUITE 300		SAN DIEGO	CA	CALIFORNIA	92121	(619) 937-2754	DELAWARE							Corporation		withinFiveYears	2020
0001947683-22-000001	YES	101	0001947683	TRC Clock Tower, LLC	13240 S Sunset Stream Way		DRAPER	UT	UTAH	84020	208-230-2639	DELAWARE							Limited Liability Company		withinFiveYears	2022
0001947866-22-000001	YES	101	0001947866	Jupiter Global Emerging Markets Focus Fund LP	1756 Platte Street		Denver	CO	COLORADO	80202	720-255-1933	DELAWARE							Limited Partnership		withinFiveYears	2022
0001013594-22-000601	YES	101	0001739659	FourWorld Special Opportunities Fund, LLC	7 WORLD TRADE CENTER	FL. 46	NEW YORK	NY	NEW YORK	10007	212-266-0074	DELAWARE							Limited Liability Company		withinFiveYears	2018
0001945050-22-000001	NO	102	0001944982	LCCA Blocker, LLC	14567 NORTH OUTER FORTY, SUITE 350		CHESTERFIELD	MO	MISSOURI	63017	314-787-7361	DELAWARE							Limited Liability Company		withinFiveYears	2022
0001945050-22-000001	YES	101	0001945050	Larson Capital Charlotte Avenue, LLC	14567 NORTH OUTER FORTY, SUITE 350		CHESTERFIELD	MO	MISSOURI	63017	314-787-7361	DELAWARE							Limited Liability Company		withinFiveYears	2022
0001945628-22-000001	YES	101	0001945628	3S FUND I, LP	616 N KENWOOD ST APT 1		GLENDALE	CA	CALIFORNIA	91206	818-588-5259	DELAWARE							Limited Partnership		withinFiveYears	2022
0001947571-22-000001	YES	101	0001947571	Chestnut Parkridge IV, LP	832 GEORGIA AVENUE	SUITE 221	CHATTANOOGA	TN	TENNESSEE	37402	423-708-2178	DELAWARE							Limited Partnership		withinFiveYears	2022
0001947780-22-000001	YES	101	0001947780	PPG Funding III, LLC	2150 POST ROAD	SUITE 301	FAIRFIELD	CT	CONNECTICUT	06824	203-418-9000	CONNECTICUT							Limited Liability Company		withinFiveYears	2022
0001947822-22-000001	YES	101	0001947822	CES PROPERTIES FUND XXIV (CLARE AVE TOWNS) LLC	12301 NE 10TH PL	SUITE 303	BELLEVUE	WA	WASHINGTON	98005	425-454-7000	WASHINGTON							Limited Liability Company		yetToBeFormed	
0001946789-22-000002	YES	101	0001946789	Falcon Hospice, L.P.	3350 RIVERWOOD PARKWAY, SUITE 1400		ATLANTA	GA	GEORGIA	30339	212-407-6026	DELAWARE							Limited Partnership		withinFiveYears	2022
0001814941-22-000002	YES	101	0001814941	Happi Co.	2139 COLE ST		BIRMINGHAM	MI	MICHIGAN	48009	630-777-6959	MICHIGAN							Corporation		withinFiveYears	2020
0001947701-22-000001	YES	101	0001947701	Ulua VC 2022 Fund Series of Fundviews Series, LLC	1450 BRICKELL AVE, SUITE 1560		MIAMI	FL	FLORIDA	33131	786 386 0251	DELAWARE							Other	series of a series llc	withinFiveYears	2022
0001868015-22-000001	YES	101	0001868015	Cloud to Street, PBC	1 Dock 72 Way, Floor 7		Brooklyn	NY	NEW YORK	11205	(646) 343-9050	DELAWARE							Corporation		withinFiveYears	2018
0001939394-22-000001	YES	101	0001939394	HCRE 004 LLC	550 RESERVE STREET	SUITE 190 250	SOUTHLAKE	TX	TEXAS	76092	732-986-5795	TEXAS							Limited Liability Company		withinFiveYears	2022
0001873461-22-000001	YES	101	0001873461	Pajarito Fund, LP	3811 TURTLE CREEK BLVD	SUITE 950	DALLAS	TX	TEXAS	75219	(214) 396-2268	DELAWARE							Limited Partnership		withinFiveYears	2021
0001104659-22-102366	YES	101	0001946335	Infinitum Copper Corp.	SUITE 450, 800 WEST PENDER ST.		VANCOUVER	A1	BRITISH COLUMBIA, CANADA	V6C 2V6	604-409-3917	BRITISH COLUMBIA, CANADA	Bayshore Petroleum Corp.						Corporation		overFiveYears	
0001315863-22-000626	YES	101	0001885696	Crestline Lion Fund Mini-Master, L.P.	201 MAIN STREET, SUITE 1900		FORT WORTH	TX	TEXAS	76102	(817) 339-7600	DELAWARE							Limited Partnership		withinFiveYears	2020
0001934859-22-000002	YES	101	0001934859	BBI Astor Park I, LLC	80 EAST RICH STREET	SUITE 200	COLUMBUS	OH	OHIO	43215	800-809-2172 X402	OHIO							Limited Liability Company		withinFiveYears	2022
0001011034-22-000003	YES	101	0001304409	ATHENA GOLD CORP	2010A HARBISON DRIVE # 312		VACAVILLE	CA	CALIFORNIA	95687	707-291-6198	DELAWARE				ATHENA SILVER CORP	ATHENA SILVER Corp	Athena Silver Corp	Corporation		overFiveYears	
0001685315-22-000001	YES	101	0001685315	Connected2Fiber, Inc.	134 Flanders Road		Wesborough	MA	MASSACHUSETTS	01581	5089691747	DELAWARE							Corporation		overFiveYears	
0001931123-22-000001	YES	101	0001931123	Elevate Phoenix South Mountain LLC	16192 COASTAL HIGHWAY	1200	LEWES	DE	DELAWARE	19958	9724608353	DELAWARE							Limited Liability Company		withinFiveYears	2022
0001876500-22-000001	YES	101	0001876500	Longwood Fund VI, L.P.	800 BOYLSTON STREET	SUITE 1555	BOSTON	MA	MASSACHUSETTS	02199	6173512590	DELAWARE							Limited Partnership		withinFiveYears	2021
0001493152-22-026562	YES	101	0001886799	Bright Green Corp	1033 GEORGE HANOSH BOULEVARD		GRANTS	NM	NEW MEXICO	87020	(833) 658-1799	DELAWARE							Corporation		withinFiveYears	2019
0001947781-22-000001	YES	101	0001947781	13030 Cape, LP	14439 NW MILITARY HWY, STE 108- 613		SAN ANTONIO	TX	TEXAS	78230	949-296-7502	TEXAS							Limited Partnership		withinFiveYears	2022
0001946922-22-000001	YES	101	0001946922	WF Peachtree Partners, LLC	10877 WILSHIRE BLVD	SUITE 1105	LOS ANGELES	CA	CALIFORNIA	90024	310-820-5443	DELAWARE							Limited Liability Company		withinFiveYears	2022
0001878052-22-000002	YES	101	0001878052	Blackstone Real Estate Partners Asia III L.P.	345 PARK AVENUE		NEW YORK	NY	NEW YORK	10154	(212) 583-5000	CAYMAN ISLANDS							Limited Partnership		withinFiveYears	2021
0001723147-22-000001	YES	101	0001723147	Tara Emerging Asia Liquid Fund (MU) Ltd	12TH FL, STANDARD CHARTERED TOWER	19 CYBERCITY	EBENE	O4	MAURITIUS	72201	011-230-659-5101	NEW JERSEY							Other	Public Company limited by Shares under the Law of Mauritius	overFiveYears	
0001947823-22-000001	YES	101	0001947823	Impact Prosperity OZ Fund I, LLC	1501 HALL JOHNSON ROAD #1802		COLLEYVILLE	TX	TEXAS	76034	214-537-8843	DELAWARE							Limited Liability Company		withinFiveYears	2022
0001362118-22-000065	YES	101	0001946729	F3 BASEBALL, LLC	TOWER 49	12 EAST 49TH STREET	NEW YORK	NY	NEW YORK	10017	2122352183	DELAWARE							Limited Liability Company		withinFiveYears	2022
0001928722-22-000001	YES	101	0001928722	PopReach Corp	1 UNIVERSITY AVENUE, 3RD FLOOR		TORONTO	A6	ONTARIO, CANADA	M5J 2P1	416-583-5918	ONTARIO, CANADA	Mithrandir Capital Corp.						Corporation		withinFiveYears	2019
0001737185-22-000001	YES	101	0001737185	ACP Ulysses Holdings, Inc.	65 EAST 55TH STREET, 18TH FLOOR		NEW YORK	NY	NEW YORK	10022	212-593-6900	DELAWARE							Corporation		withinFiveYears	2017
0001872829-22-000001	YES	101	0001872829	BGA Horizon Fund, LLC - Baker Brothers Series	1 MARINA PARK DR	STE 1150	BOSTON	MA	MASSACHUSETTS	02210	6179483800	DELAWARE							Limited Liability Company		withinFiveYears	2021
0001535498-22-000001	YES	101	0001535498	WellSense, Inc.	123 W. BROWN ST.		BIRMINGHAM	MI	MICHIGAN	48009	(888) 335-0995	DELAWARE				Enhanced Surface Dynamics, Inc.			Corporation		overFiveYears	
0001947672-22-000001	YES	101	0001947672	AEA SNFD LLC	6555 SANGER RD		ORLANDO	FL	FLORIDA	32827	646-707-2770	FLORIDA							Limited Liability Company		withinFiveYears	2022
0001833314-22-000002	YES	101	0001833314	Heroic Enterprises, Public Benefit Corp	9901 BRODIE LANE	SUITE 160 #1388	AUSTIN	TX	TEXAS	78748	5106982462	DELAWARE				Heroic Enterprises Public Benefit Corp			Other	Public Benefit Corporation	withinFiveYears	2020
0001567619-22-017720	YES	101	0001947140	Dallas Housing Opportunity Fund LLC	28 Liberty Street, 34th Floor		New York	NY	NEW YORK	10005	212.455.9800	DELAWARE							Limited Liability Company		withinFiveYears	2021
0001935655-22-000002	YES	101	0001937045	BHC HC Co-Invest III, LLC	1519 SUMMIT AVENUE SUITE 200		RICHMOND	VA	VIRGINIA	23230	8042123400	DELAWARE							Limited Liability Company		withinFiveYears	2022
0001882096-22-000001	YES	101	0001882096	BREP Asia III Feeder (ONT) L.P.	345 PARK AVENUE		NEW YORK	NY	NEW YORK	10154	(212) 583-5000	ONTARIO, CANADA							Limited Partnership		withinFiveYears	2021
0001884504-22-000001	YES	101	0001884504	Yellowstone Housing Opportunities Fund III-A LP	155 WELLINGTON STREET WEST		TORONTO	A6	ONTARIO, CANADA	M5V 3J7	(646) 678-3523	ONTARIO, CANADA							Limited Partnership		withinFiveYears	2021
0001932614-22-000002	YES	101	0001932614	Catalyst Health Ventures Partners Fund III, L.P.	129 SOUTH STREET, 4TH FLOOR		BOSTON	MA	MASSACHUSETTS	02111	781-228-5228	DELAWARE							Limited Partnership		withinFiveYears	2022
0001878064-22-000001	YES	101	0001878064	BREP Asia III Feeder B L.P.	345 PARK AVENUE		NEW YORK	NY	NEW YORK	10154	(212) 583-5000	CAYMAN ISLANDS							Limited Partnership		withinFiveYears	2021
0001931044-22-000002	YES	101	0001931044	Corundum Diversified Apartment Fund VI LLC	1 S NEVADA AVE	SUITE 200	COLORADO SPRINGS	CO	COLORADO	80903	719-228-1080	DELAWARE							Limited Liability Company		withinFiveYears	2022
0001935655-22-000001	YES	101	0001935655	BHC YS Co-Invest, LLC	1519 SUMMIT AVENUE SUITE 200		RICHMOND	VA	VIRGINIA	23230	8042123400	DELAWARE							Limited Liability Company		withinFiveYears	2022
0001884505-22-000001	YES	101	0001884505	Yellowstone Housing Opportunities Fund III LP	2021 FILMORE STREET	SUITE 2101	SAN FRANCISCO	CA	CALIFORNIA	94115	(646) 678-3523	DELAWARE							Limited Partnership		withinFiveYears	2021
0001848197-22-000002	YES	101	0001848197	Clear Current Capital Fund II, LP	1701 26TH AVE.		VERO BEACH	FL	FLORIDA	32960	7043639140	DELAWARE							Limited Partnership		withinFiveYears	2020
0001932612-22-000002	YES	101	0001932612	Catalyst Health Ventures Fund III, L.P.	129 SOUTH STREET, 4TH FLOOR		BOSTON	MA	MASSACHUSETTS	02111	781-228-5228	DELAWARE							Limited Partnership		withinFiveYears	2022
0001942878-22-000001	YES	101	0001942878	Lotus Co-Invest LP	MOURANT GOVERNANCE SERVICES (CAYMAN) LTD	94 SOLARIS AVENUE, CAMANA BAY, BOX 1348	GEORGE TOWN	E9	CAYMAN ISLANDS	KY1-1108	44 (0)74636 55114	UNITED KINGDOM							Limited Partnership		withinFiveYears	2022
0001947684-22-000001	YES	101	0001947684	Collaborative Growth II, L.P.	347 BOWERY, 2ND FLOOR		NEW YORK	NY	NEW YORK	10003	415-413-8360	DELAWARE							Limited Partnership		withinFiveYears	2022
0001947631-22-000001	YES	101	0001947631	Metatheory Inc.	2217 STRAND STREET	SUITE 201	GALVESTON	TX	TEXAS	77550	800-399-6146	DELAWARE							Corporation		withinFiveYears	2021
0001940581-22-000001	YES	101	0001940581	GSP Woof Gang Management Holdings LLC	853 BROADWAY, FLOOR 16		NEW YORK	NY	NEW YORK	10003	917-685-2967	DELAWARE							Limited Liability Company		withinFiveYears	2022
0001209191-22-050998	YES	101	0001400819	NEOCHORD INC	5402 Parkdale Drive, Suite 160		St. Louis Park	MN	MINNESOTA	55416	952-698-7800	DELAWARE				mValve Inc			Corporation		overFiveYears	
0001878050-22-000002	YES	101	0001878050	Blackstone Real Estate Partners Asia III (LUX) SCSp	11-13 BOULEVARD DE LA FOIRE		GRAND DUCHY OF LUXEMBOURG	N4	LUXEMBOURG	L-1528	(212) 583-5000	LUXEMBOURG							Limited Partnership		withinFiveYears	2021
0001947665-22-000001	YES	101	0001947665	Xendit Ltd	1909 STRATTON COURT		COLLEYVILLE	TX	TEXAS	76034	(415) 570-9244	CAYMAN ISLANDS							Other	Exempted Company	overFiveYears	
0001942964-22-000001	YES	101	0001942964	Material Co-Invest LP	MOURANT GOVERNANCE SERVICES (CAYMAN) LTD	94 SOLARIS AVENUE, CAMANA BAY, BOX 1348	GEORGE TOWN	E9	CAYMAN ISLANDS	KY1-1108	44 (0)74636 55114	UNITED KINGDOM							Limited Partnership		withinFiveYears	2022
0001947069-22-000002	YES	101	0001947069	Bettermeant Inc.	1169 EUCLID AVENUE	#5	BERKELEY	CA	CALIFORNIA	94708	301-275-5018	DELAWARE							Corporation		withinFiveYears	2018
0001878058-22-000001	YES	101	0001878058	BREP Asia III Feeder L.P.	345 PARK AVENUE		NEW YORK	NY	NEW YORK	10154	(212) 583-5000	CAYMAN ISLANDS							Limited Partnership		withinFiveYears	2021
0001947599-22-000001	YES	101	0001947599	MP Missouri, LLC	1250 SELVA MARINA CIRCLE		ATLANTIC BEACH	FL	FLORIDA	32233	904-679-2519	FLORIDA							Limited Liability Company		withinFiveYears	2022
0001841099-22-000001	YES	101	0001841099	CND Life Sciences, Inc.	5070 N. 40TH STREET	SUITE 220	PHOENIX	AZ	ARIZONA	85018	617-223-1585	DELAWARE	Cutaneous NeuroDiagnostics, LLC						Corporation		overFiveYears	
0001945753-22-000002	YES	101	0001945753	Pour Soul Systems, Inc.	5076 SW TECHNOLOGY LOOP	SUITE 134	CORVALLIS	OR	OREGON	97333	607-339-5097	OREGON							Corporation		withinFiveYears	2021
0001947112-22-000001	YES	101	0001947112	Unico Strategic Industrial Fund I LP	1215 FOURTH AVENUE	SUITE 600	SEATTLE	WA	WASHINGTON	98161	206-628-5050	DELAWARE							Limited Partnership		withinFiveYears	2022
0001209191-22-050993	YES	101	0001947030	ProVal Beaverton Apts, LP	c/o ProVal Beaverton Apts GP, LLC	156 N. Jefferson St., Suite 300	Chicago	IL	ILLINOIS	60661	312-784-5874	DELAWARE							Limited Partnership		withinFiveYears	2022
0001947643-22-000001	YES	101	0001947643	newbold solutions, LLC	608 SUGARBERRY ROAD		CHAPEL HILL	NC	NORTH CAROLINA	27514	9197979241	NORTH CAROLINA							Limited Liability Company		withinFiveYears	2020
0001947082-22-000003	YES	101	0001947082	Axicle, Inc.	301 VIA MONTE DORO		REDONDO BEACH	CA	CALIFORNIA	90277	7193316932	DELAWARE							Corporation		withinFiveYears	2020
0001947082-22-000002	YES	101	0001947082	Axicle, Inc.	301 VIA MONTE DORO		REDONDO BEACH	CA	CALIFORNIA	90277	7193316932	DELAWARE							Corporation		withinFiveYears	2020
0001947435-22-000001	YES	101	0001947435	DREAMCATCHER ENTERTAINMENT GROUP, LLC	514 MONROE STREET		NASHVILLE	TN	TENNESSEE	37208	646-223-0842	DELAWARE							Limited Liability Company		withinFiveYears	2022
0001947082-22-000001	YES	101	0001947082	Axicle, Inc.	301 VIA MONTE DORO		REDONDO BEACH	CA	CALIFORNIA	90277	7193316932	DELAWARE							Corporation		withinFiveYears	2020
0001947166-22-000001	YES	101	0001947166	VWP SLC Central Co-Investment LLC	2390 E. CAMELBACK RD.	SUITE 305	PHOENIX	AZ	ARIZONA	85016	6029578300	DELAWARE							Limited Liability Company		withinFiveYears	2022
0001946415-22-000002	YES	101	0001946415	SAVA Capital Inc.	527 10TH AVE	704 UNIT	SAN DIEGO	CA	CALIFORNIA	92101	4156190793	FLORIDA							Corporation		withinFiveYears	2021
0001947535-22-000001	YES	101	0001947535	Wolfe Windsor Fund, LLC	5000 LEGACY DR. #230		PLANO	TX	TEXAS	75024	972-599-0661	TEXAS							Limited Liability Company		withinFiveYears	2022
0001940872-22-000001	YES	101	0001940872	Mad Capital Group PBC	728 PEARL STREET		BOULDER	CO	COLORADO	80302	(312) 380-1411	DELAWARE							Other	Public Benefit Corporation	withinFiveYears	2022
0001062993-22-019854	YES	101	0001912466	HealingMaps Inc.	1300 BRICTELL BAY DRIVE, #3702		MIAMI	FL	FLORIDA	33131	902-478-7090	DELAWARE							Corporation		withinFiveYears	2021
0001821379-22-000002	YES	101	0001821379	Atlas Technology Solutions Inc.	1 NORTH FRANKLIN, SUITE 2600		CHICAGO	IL	ILLINOIS	60606	404-317-4299	DELAWARE	Elements Global Services, LLC			Elements Global Services, Inc.			Corporation		withinFiveYears	2017
0001897915-22-000001	YES	101	0001897915	Campus Seattle LLC	401 N 36TH ST	SUITE 201	SEATTLE	WA	WASHINGTON	98103	2066607983	WASHINGTON							Limited Liability Company		withinFiveYears	2021
0001765489-22-000001	YES	101	0001765489	Aquipor Technologies, Inc.	4118 E. 33RD AVE		SPOKANE	WA	WASHINGTON	99223	509-435-5111	WASHINGTON							Corporation		overFiveYears	
0001914691-22-000002	YES	101	0001914691	AL24 Fund I, a series of Roll Up Vehicles, LP	119 South Main Street	Suite 220	Seattle	WA	WASHINGTON	98104	3603409337	DELAWARE	None						Limited Partnership		withinFiveYears	2022
0001513907-22-000001	YES	101	0001513907	Kalo Capital Management, LP	12526 High Bluff Drive	Suite 300	San Diego	CA	CALIFORNIA	92130	732-860-5256	DELAWARE							Limited Partnership		overFiveYears	
0001947175-22-000001	YES	101	0001947175	OurCrowd (Investment in Neolith) L.P.	28 DERECH HEBRON		JERUSALEM	L3	ISRAEL	9108001	972-636-9300	VIRGIN ISLANDS, BRITISH							Limited Partnership		withinFiveYears	2022
0001928437-22-000001	YES	101	0001928437	Fund 00164 a series of Assure Labs GB 2022, LLC	6510 S Millrock Drive	Suite 400	Salt Lake City	UT	UTAH	84121	(801) 419-0677	DELAWARE							Limited Liability Company		withinFiveYears	2022
0001944615-22-000001	YES	101	0001944615	Fund 001 a series of Niya Partners Investments LLC	6510 S Millrock Drive	Suite 400	Salt Lake City	UT	UTAH	84121	(801) 419-0677	DELAWARE							Limited Liability Company		withinFiveYears	2022
0001413463-22-000004	YES	101	0001413463	Lionstone Insurance Fund, LP	LIONSTONE GP, LLC	745 Fifth Avenue, 16th Floor	New York	NY	NEW YORK	10151	(212) 207-8001	DELAWARE	Lionstone Insurance Fund, L.P.			Corona Insurance Fund, L.P.	Corona Insurance Fund LP		Limited Partnership		overFiveYears	
0000897069-22-000544	YES	101	0001947627	Two Birds Family Services, Inc.	4001 BRANDYWINE STREET NW		WASHINGTON	DC	DISTRICT OF COLUMBIA	20016	202-627-2142	DELAWARE	Hatch Workspace LLC						Corporation		withinFiveYears	2017
0001410306-22-000005	YES	101	0001410306	LIONSTONE GLOBAL SPECIAL SITUATIONS FUND, L.P.	LIONSTONE GP, LLC	745 Fifth Avenue, 16th Floor	NEW YORK	NY	NEW YORK	10151	212-207-8001	DELAWARE				LIONSTONE GLOBAL SPECIAL SITUATIONS FUND LP			Limited Partnership		overFiveYears	
0001104659-22-102272	YES	101	0001755471	NEXT Renewable Fuels, Inc.	11767 KATY FREEWAY	SUITE 705	HOUSTON	TX	TEXAS	77079	281-884-3680	DELAWARE				Next Energy Group, Inc.			Corporation		overFiveYears	
0001347556-22-000004	YES	101	0001347556	Lionstone Fund, Ltd.	OCORIAN SERVICES (BERMUDA) LIMITED	VICTORIA PLACE, 5TH FL., 31 VICTORIA STR	HAMILTON	D0	BERMUDA	HM 10	441-294-8000	BERMUDA				Lionstone Fund Ltd			Other	Bermuda Exempted Company	overFiveYears	
0001320813-22-000005	YES	101	0001320813	Lionstone Fund, LP	LIONSTONE GP, LLC	745 Fifth Avenue, 16th Floor	NEW YORK	NY	NEW YORK	10151	212-207-8001	DELAWARE				Lionstone Fund L P			Limited Partnership		overFiveYears	
0000919574-22-005638	YES	101	0001946929	AlbaCore Investment Opportunities II Feeder (Delaware) LP	55 ST JAMES STREET		LONDON	X0	UNITED KINGDOM	SW1A 1LA	442078816024	DELAWARE							Limited Partnership		withinFiveYears	2022
0001947452-22-000001	YES	101	0001947452	AMBERSTONE AFFILIATES V, LLC	1686 UNION STREET, SUITE 201		SAN FRANCISCO	CA	CALIFORNIA	94123	415-523-3588	DELAWARE							Limited Liability Company		withinFiveYears	2022
0000899140-22-000711	YES	101	0001947618	King Street Campus Co-Invest, L.P.	C/O KING STREET CAPITAL MANAGEMENT, L.P.	299 PARK AVENUE, 40TH FLOOR	New York	NY	NEW YORK	10171	(212) 812-3100	CAYMAN ISLANDS	King Street Voyage Co-Invest, L.P.						Limited Partnership		withinFiveYears	2021
0001947679-22-000002	YES	101	0001947679	Kwil, Inc.	2811 HEMPHILL PARK		AUSTIN	TX	TEXAS	78705-4110	208-995-1366	DELAWARE							Corporation		withinFiveYears	2022
0001437749-22-022903	YES	101	0001736470	Nexben Inc.	150 S. 5th Street	Suite 1750	Minneapolis	MN	MINNESOTA	55402	866-836-8656	DELAWARE							Corporation		overFiveYears	
0001929572-22-000002	YES	101	0001929572	Acceleron Holt Xchange SPV, a Series of Holt Xchange SPV, LLC	6510 S Millrock Drive	Suite 400	Salt Lake City	UT	UTAH	84121	(801) 419-0677	DELAWARE							Limited Liability Company		withinFiveYears	2022
0001567619-22-017715	YES	101	0001946234	PDC Holdings, LLC	173 SOUTH 32ND STREET		CAMP HILL	PA	PENNSYLVANIA	17011	717-736-1970	PENNSYLVANIA							Limited Liability Company		withinFiveYears	2019
0001946459-22-000001	YES	101	0001946459	SGV17, a Series of SGV I, LLC	13282 Ocean Vista Road		San Diego	CA	CALIFORNIA	92130	(858) 405-1756	DELAWARE							Limited Liability Company		withinFiveYears	2022
0001939552-22-000001	YES	101	0001939552	Constructn 1, a Series of Shadow Ventures Master, LLC	1441 Woodmont Ln NW	Suite 2000	Atlanta	GA	GEORGIA	30318	(404) 483-9800	DELAWARE							Limited Liability Company		withinFiveYears	2022
