ACCESSIONNUMBER	INDUSTRYGROUPTYPE	INVESTMENTFUNDTYPE	IS40ACT	REVENUERANGE	AGGREGATENETASSETVALUERANGE	FEDERALEXEMPTIONS_ITEMS_LIST	ISAMENDMENT	PREVIOUSACCESSIONNUMBER	SALE_DATE	YETTOOCCUR	MORETHANONEYEAR	ISEQUITYTYPE	ISDEBTTYPE	ISOPTIONTOACQUIRETYPE	ISSECURITYTOBEACQUIREDTYPE	ISPOOLEDINVESTMENTFUNDTYPE	ISTENANTINCOMMONTYPE	ISMINERALPROPERTYTYPE	ISOTHERTYPE	DESCRIPTIONOFOTHERTYPE	ISBUSINESSCOMBINATIONTRANS	BUSCOMBCLARIFICATIONOFRESP	MINIMUMINVESTMENTACCEPTED	OVER100RECIPIENTFLAG	TOTALOFFERINGAMOUNT	TOTALAMOUNTSOLD	TOTALREMAINING	SALESAMTCLARIFICATIONOFRESP	HASNONACCREDITEDINVESTORS	NUMBERNONACCREDITEDINVESTORS	TOTALNUMBERALREADYINVESTED	SALESCOMM_DOLLARAMOUNT	SALESCOMM_ISESTIMATE	FINDERSFEE_DOLLARAMOUNT	FINDERSFEE_ISESTIMATE	FINDERFEECLARIFICATIONOFRESP	GROSSPROCEEDSUSED_DOLLARAMOUNT	GROSSPROCEEDSUSED_ISESTIMATE	GROSSPROCEEDSUSED_CLAROFRESP	AUTHORIZEDREPRESENTATIVE
0001833677-22-000001	Other Health Care			Decline to Disclose		06b	false		2022-08-22		false	true									false		0		3500000	3224996	275004		false		12	0	true	0	true		115000	true		false
0001915097-22-000008	Pooled Investment Fund	Venture Capital Fund	false	No Revenues		06c	true	0001915108-22-000002	2022-02-09		false					true					false		10000		Indefinite	9075000	Indefinite		false		125	0	true	0	true		0	true	General Partner will receive a management fee of a percentage of investments under management.	false
0001945361-22-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C.1	false		2022-08-31		false					true					false		997		409608	409608	0		false		74	0		0			6360		This amount represents a one-time fixed cost to cover fund organizational and operating expenses, including all regulatory filing fees, for the life of the fund.	false
0001783875-22-000001	Other			Decline to Disclose		06b	false		2022-08-19		false	true									true	Issued 3,750,000 SVS as partial consideration for purchase of substantially all operating assets of BFCA, LLC, Market & Mission LLC, Across Infinity LLC, American General Resources, LLC and California Loyal Inc., collectively doing business as Bloom Farms	0		2137500	2137500	0		false		1	0		0			0			false
0001440747-22-000001	Other Health Care			Decline to Disclose		06b	true	0001440747-21-000003	2021-08-13		true								true	Convertible Debt	false		25000		5250000	2248532	3001468		false		33	0		0			102083			false
0001922296-22-000013	Other Real Estate			Decline to Disclose		06b	true	0001922296-22-000012	2022-03-25		false	true									false		100000		54531314	44401306	10130008	Regarding Item 11, the Issuer may accept smaller investments in the Sponsor's sole discretion.	false		158	4771490	true	0	true	Sales Commissions include estimates of the maximum amount of Selling Commissions and Dealer Fees that may be paid.	1137228	true	Item 16 is an estimate of offering expenses and acquisition fees that may accrue to one or more Related Persons.	false
0001945199-22-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C.1	false		2022-08-30		false					true					false		1000		172000	172000	0		false		31	0		0			9785		This amount represents a one-time fixed cost to cover fund organizational and operating expenses, including all regulatory filing fees, for the life of the fund.	false
0001945202-22-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C.1	false		2022-08-30		false					true					false		1000		220669	220669	0		false		25	0		0			9410		This amount represents a one-time fixed cost to cover fund organizational and operating expenses, including all regulatory filing fees, for the life of the fund.	false
0001012975-22-000392	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.7	false			true	false					true					false		0		Indefinite	0	Indefinite		false		0	0		0			0			false
0001944524-22-000001	Investing			No Revenues		06b	false		2021-08-03		false	true									false		25000		5000000	5000000	0		false		14	0		0			0			false
0001945367-22-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C.1	false		2022-08-31		false					true					false		2103		163460	163460	0		false		5	0		0			8460		This amount represents a one-time fixed cost to cover fund organizational and operating expenses, including all regulatory filing fees, for the life of the fund.	false
0001945200-22-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C.1	false		2022-08-30		false					true					false		3000		72107	72107	0		false		13	0		0			0			false
0001945347-22-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C.1	false		2022-09-01		false					true					false		1000		238525	238525	0		false		5	0		0			4760		This amount represents a one-time fixed cost to cover fund organizational and operating expenses, including all regulatory filing fees, for the life of the fund.	false
0000919574-22-005415	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0000919574-21-005814	2017-09-01		true	true				true					false		0		Indefinite	235632576	Indefinite		false		46	0	true	0	true		0	true	The Investment Manager receives a fixed fee.	true
0001578351-22-000003	Other			Decline to Disclose		06b	false		2022-08-29		false	true									false		5000		Indefinite	750000	Indefinite		true	1	13	0		0			0			false
0001945310-22-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C.1	false		2022-09-01		false					true					false		2000		343500	343500	0		false		26	0		0			0			false
0001928763-22-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C.1	false		2022-09-06		false					true					false		1000		119500	119500	0		false		18	0		0			4000		This amount represents a one-time fixed cost to cover fund organizational and operating expenses, including all regulatory filing fees, for the life of the fund.	false
0001928084-22-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C.1	false		2022-08-30		false					true					false		1000		15500	15500	0		false		5	0		0			0			false
0001945484-22-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C.1	false		2022-09-02		false					true					false		2000		2225420	2225420	0		false		107	0		0			0			false
0000902664-22-004183	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2022-08-31		true	true				true					false		0		Indefinite	58075000	Indefinite		false		57	217500		0			0		The fund charges a management fee that is described in the fund's governing documents.	false
0001902716-22-000002	Other Technology			Decline to Disclose		06b	false		2022-08-30		false		true	true							false		0		3000000	1000000	2000000		false		9	0		0			82827		Repayment of related party advanced funds.	false
0001942769-22-000002	Other Banking and Financial Services			No Revenues		06c	true	0001942769-22-000001		true	false	true									false		25000		50000000	0	50000000		false		0	0		0			0	true		false
0000919574-22-005413	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0000919574-21-005723	2021-09-01		true	true				true					false		100000		Indefinite	399982	Indefinite		false		1	0	true	0	true		0	true	The Investment Manager is paid customary management fees and the Directors are paid customary directors fees.	true
0001820412-22-000001	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0001820412-21-000002	2020-08-01		true					true					false		0		Indefinite	193632125	Indefinite		false		25	0		0			0			false
0001945720-22-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2022-09-02		false					true					false		0		205295	205295	0		false		7	0		0			4000		This amount represents a cost to cover fund organizational and operating expenses.	false
0001882566-22-000001	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0001882566-21-000001	2022-02-28		true					true					false		2000000		Indefinite	137823500	Indefinite	TOTAL AMOUNT SOLD INCLUDES SALES OF INTERESTS PURSUANT TO REGULATION S.	false		6	0		0			0			false
0001945709-22-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2022-08-23		false					true					false		0		138500	138500	0		false		4	0		0			3500		This amount represents a cost to cover fund organizational and operating expenses.	false
0001945712-22-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2022-08-24		false					true					false		0		12500	12500	0		false		4	0		0			0		This amount represents a cost to cover fund organizational and operating expenses.	false
0001944578-22-000001	Investing			Decline to Disclose		06b	false		2022-07-27		false	true									false		0		1200000	1200000	0		false		18	0		0			0			false
0001945708-22-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2022-08-26		false					true					false		0		50500	50500	0		false		14	0		0			3500		This amount represents a cost to cover fund organizational and operating expenses.	false
0001945722-22-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2022-08-26		false					true					false		0		55000	55000	0		false		5	0		0			3500		This amount represents a cost to cover fund organizational and operating expenses.	false
0001823470-22-000002	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0001823470-21-000001	2018-11-01		true					true					false		250000		Indefinite	66288991	Indefinite		false		22	0		0			0			false
0001480795-22-000005	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0001834837-21-000001	2020-12-01		true					true					false		250000		Indefinite	81113056	Indefinite		false		36	0		0			0			false
0001480795-22-000004	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0001480795-22-000002	2010-01-04		true					true					false		100000		Indefinite	944290892	Indefinite		false		382	0		0			0			false
0001945710-22-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2022-08-29		false					true					false		0		600000	600000	0		false		39	0		0			11765		This amount represents a cost to cover fund organizational and operating expenses.	false
0001945706-22-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2022-08-30		false					true					false		0		95000	95000	0		false		3	0		0			4500		This amount represents a cost to cover fund organizational and operating expenses.	false
0001945723-22-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2022-09-01		false					true					false		0		43000	43000	0		false		4	0		0			3000		This amount represents a cost to cover fund organizational and operating expenses.	false
0001945718-22-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2022-09-02		false					true					false		0		212000	212000	0		false		13	0		0			4240		This amount represents a cost to cover fund organizational and operating expenses.	false
0001941975-22-000001	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.7	false			true	false					true					false		0		Indefinite	0	Indefinite		false		0	0		0			0	true	The Issuer's General Partner or an affiliate of the Issuer's General Partner may be entitled to receive a management fee in accordance with the Issuer's governing documentation, as amended from time to time.	false
0000902664-22-004181	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.7	true	0000902664-21-004116	2021-08-25		true	true				true					false		1		Indefinite	17196212	Indefinite		false		2	0		0			0			false
0001654954-22-012202	Oil and Gas			Decline to Disclose		06b	false			true	false								true	Joint Venture Interests	false		0		800000	0	800000	Centurion-Flank Oil Well Joint Venture	false		0	0		0			0		No direct payments	
0001944754-22-000001	Commercial			Decline to Disclose		06b, 3C, 3C.5	false		2022-09-01		false	true				true					false		50000		5000000	3650000	1350000		true	3	21	0	true	0	true		100	true		false
0001941941-22-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1, 3C.7	false			true	true					true					false		50000		Indefinite	0	Indefinite		false		0	0		0			0			false
0001943050-22-000001	Other			Decline to Disclose		06b	false		2022-05-28		false	true									false		0		Indefinite	3931333	Indefinite		false		24	0		0			0			false
0001945626-22-000001	Other Real Estate			Decline to Disclose		06c	false		2022-08-23		false	true									false		125000		37500000	14125000	23375000		false		30	0		0			0			false
0001941130-22-000001	Other Technology			Decline to Disclose		06b	false		2022-08-23		false	true									false		0		4854916	4274916	580000		false		24	0		0			0			false
0001926534-22-000001	Other Banking and Financial Services			Decline to Disclose		06b	false			true	true	true									false		50000		25000000	0	25000000		false		0	0		0			0			false
0001945204-22-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C.1	false		2022-08-30		false					true					false		1000		104373	104373	0		false		24	0		0			6475		This amount represents a one-time fixed cost to cover fund organizational and operating expenses, including all regulatory filing fees, for the life of the fund.	false
0001839220-22-000002	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06c, 3C, 3C.7	false		2022-04-01		true					true					false		10000000		Indefinite	184150000	Indefinite		false		4	0		609377		The Manager will pay a monthly fee, which may vary from time to time, to the placement agent. Fees listed above represent estimated fees paid during the calendar year 2021.	0			false
0000919574-22-005409	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.1	true	0000919574-21-005747	2008-04-30		true	true				true					false		0		Indefinite	139766359	Indefinite		true	3	111	0	true	0	true		0	true	The General Partner receives customary management fees.	true
0001787416-22-000001	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2021-06-15		false					true					false		0		Indefinite	35000000	Indefinite		false		29	0		0			0	true	The General Partner or certain affiliates of the General Partner may receive payments deemed to be made from the proceeds of the offering including management fees and/or incentive allocations. The amount of such fees cannot be estimated at this time.	false
0001945432-22-000001	Pooled Investment Fund	Venture Capital Fund	false	$1,000,001 - $5,000,000		06b	false		2022-09-05		false					true					false		4028		2000000	1068250	931750		false		27	0		0			0		15% success carry after the investor cohort has been paid 100% of their invested capital back	false
0001944746-22-000001	Commercial			No Revenues		06b	false			true	false	true									false		50000		644343	0	644343		true	0	0	0		0			75000	true		false
0001945656-22-000001	Other Technology			Decline to Disclose		06b	false		2022-08-31		false	true									false		1		30000	30000	0		false		5	0		0			0			false
0001902977-22-000002	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06c, 3C, 3C.7	true	0001664756-22-000012	2022-01-04		true					true					false		10000000		Indefinite	29710000	Indefinite		false		6	0		609377	true	The Manager will pay a monthly fee, which may vary from time to time, to the placement agent. Fees listed above represent estimated fees paid during the calendar year 2021.	0			false
0001376474-22-000392	Residential			$5,000,001 - $25,000,000		06c	false		2022-09-01		false	true									false		100000		6500000	6500000	0		false		44	0		0			367500		Reimbursement for expenses: legal fees $12,500, loan application $55,000, earnest money $300,000.	false
0001944753-22-000001	Other Technology			Decline to Disclose		06b	false		2022-08-29		false			true	true						false		0		1500000	559000	941000		false		5	0		0			0			false
0001940739-22-000001	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.1	false			true	true					true					false		100000		Indefinite	0	Indefinite		false		0	0		0			0			false
0001944775-22-000001	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.1	false			true	true					true					false		250000		Indefinite	0	Indefinite		false		0	0		0			0			false
0001941429-22-000002	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.1	false		2022-08-11		false					true					false		5000		51238	51238	0		false		5	0		0			0			false
0001937517-22-000001	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.1	false		2022-08-18		false					true					false		500000		500000	500000	0		false		1	0		0			0			false
0001941412-22-000001	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.1	false		2022-08-19		false					true					false		10000		435000	435000	0		false		9	0		0			0			false
0001945416-22-000001	Investing			Decline to Disclose		06c	false			true	false	true									false		40000		10000000	0	10000000		false		0	150000	true	0		Independent Brokerage Solutions LLC shall be paid a placement fee of 0.15% of the aggregate capital commitment to the Issuer.	150000	true	Thomas E. Carroll, a principal of Issuer, is a registered representative of Independent Brokerage Solutions LLC and will receive a portion of the placement fee.	false
0001941411-22-000001	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.1	false		2022-08-19		false					true					false		1000		2702699	2702699	0		false		69	0		0			0			false
0001881404-22-000001	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0001881404-21-000001	2021-08-30		true					true					false		100000		Indefinite	4120705	Indefinite		false		3	0		0			0			false
0001944757-22-000001	Commercial			Decline to Disclose		06b, 3C, 3C.1	false		2022-08-16		false	true				true					false		10000		1790000	1615000	175000		false		17	0		0			0			false
0001931912-22-000001	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.1	false		2022-08-17		false					true					false		5000		220915	220915	0		false		6	0		0			0			false
0001944180-22-000003	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06c, 3C.1	false		2022-09-02		false					true					false		50000		70000	70000	0		false		2	0		0			8000		This amount represents a one-time cost to cover fund organizational and operating expenses.	
0001912883-22-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1, 3C.7	false			true	false					true					false		0		Indefinite	0	Indefinite		false		0	0		0			0	true	The General Partner or certain affiliates of the General Partner may receive payments deemed to be made from the proceeds of the offering, including management fees and/or carried interest. The amount of such fees cannot be estimated at this time.	false
0001944955-22-000002	Other			No Revenues		06b	false		2022-08-23		true	true		true	true				true	Units, each comprised of one common share and one-half common share purchase warrant. Each warrant is exercisable for 24 months at CAD$0.45 per warrant share.	false		0		121417	69381	52036	U.S. dollars have been converted from Canadian dollars using the 0.7709 Bank of Canada exchange rate in effect on 8-23-22. Total Remaining to be Sold is the aggregate exercise price of all warrants sold in the offering in the United States.	false		1	4163		0			0	true	Proceeds of the offering may be used for general working capital purposes and may thus be used for payments to officers and directors in the ordinary course, but proceeds are not specifically earmarked for such payments.	false
0001922168-22-000003	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.1, 3C.7	true	0001922167-22-000001	2022-06-03		false	true				true					false		0		875000000	796699000	78301000	Issuer's GP reserves the right to increase the Total Offering Amount. The Total Amount Sold is aggregated between Issuer and its related parallel fund and includes commitments by the Issuer's GP.	false		21	0		0			0	true	An affiliate of the general partner will receive a fee for services provided in connection with the Issuer's investment activities. Such fee is fully disclosed in the Issuer's confidential offering materials.	false
0001683542-22-000004	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.1	true	0001683542-22-000003	2017-09-06		false					true					false		100000		3509909	3509909	0		false		34	324943		0			5790		This amount represents a one-time cost to cover fund organizational and operating expenses.	
0001922168-22-000002	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.1, 3C.7	true	0001922168-22-000001	2022-06-03		false	true				true					false		0		875000000	796699000	78301000	Issuer's GP reserves the right to increase the Total Offering Amount. The Total Amount Sold is aggregated between Issuer and its related parallel fund and includes commitments by the Issuer's GP.	false		158	0		0			0	true	An affiliate of the general partner will receive a fee for services provided in connection with the Issuer's investment activities. Such fee is fully disclosed in the Issuer's confidential offering materials.	false
0001931768-22-000002	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C.1	true	0001931768-22-000001	2022-06-14		false					true					false		100000		851000	851000	0		false		13	0		0			10000		This amount represents a one-time cost to cover fund organizational and operating expenses.	
0001878646-22-000040	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.1, 3C.5	true	0001883857-21-000001	2021-09-08		false	true				true					false		0		3555556	3555556	0		false		11	0		0			0			false
0001935373-22-000002	Other			Decline to Disclose		06b	true	0001935373-22-000001	2022-06-22		false								true	Limited Partnership Interests	true		0		79878853	79878853	0		false		9	0		0			0			false
0001866217-22-000002	Other Technology			Decline to Disclose		06b	false		2022-08-22		false	true							true	Sale and issuance of Series Seed-4 Preferred Stok and the underlying shares of Common Stock issuable upon conversion thereof	false		0		2500000	1226997	1273003		false		4	0		0			0			false
0001567619-22-017062	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C.1	false			true	false	true				true					false		250000		100000000	0	100000000		false		0	0		0			0			false
0001940883-22-000001	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.1	false		2022-08-12		false					true					false		10000		150000	150000	0		false		8	0		0			0			false
0001942697-22-000001	Pooled Investment Fund	Venture Capital Fund	false	Not Applicable		06b, 3C, 3C.7	false			true	false					true					false		0		50000000	0	50000000		false		0	0		0			0			false
0001907505-22-000002	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C.1	true	0001907505-22-000001	2022-04-05		false					true					false		10000		1032241	1032241	0		false		30	0		0			17000		This amount represents a one-time cost to cover fund organizational and operating expenses.	
0001942898-22-000001	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C.1	false		2022-09-02		false					true					false		10000		2347000	2347000	0		false		9	0		0			13500		This amount represents a one-time cost to cover fund organizational and operating expenses.	
0001939021-22-000001	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C.1	false		2022-08-16		false					true					false		5000		1473601	1473601	0		false		90	0		0			11000		This amount represents a one-time cost to cover fund organizational and operating expenses.	
0001945672-22-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C.1	false		2022-09-02		false					true					false		1000		255500	255500	0		false		21	0		0			8000		This amount represents a one-time fixed cost to cover fund organizational and operating expenses, including all regulatory filing fees, for the life of the fund.	false
0001939642-22-000001	Biotechnology			Decline to Disclose		06b	false		2022-08-19		false	true									false		0		25005011	22005002	3000009		false		25	0		0			0			false
0001945671-22-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C.1	false		2022-09-02		false					true					false		1000		430500	430500	0		false		52	0		0			6010		This amount represents a one-time fixed cost to cover fund organizational and operating expenses, including all regulatory filing fees, for the life of the fund.	false
0001945669-22-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C.1	false		2022-09-02		false					true					false		1000		86450	86450	0		false		24	0		0			4860		This amount represents a one-time fixed cost to cover fund organizational and operating expenses, including all regulatory filing fees, for the life of the fund.	false
0001945667-22-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C.1	false		2022-09-02		false					true					false		1000		65008	65008	0		false		23	0		0			5010		This amount represents a one-time fixed cost to cover fund organizational and operating expenses, including all regulatory filing fees, for the life of the fund.	false
0001944465-22-000001	Biotechnology			Decline to Disclose		06b	false		2022-08-22		false	true			true						false		0		2500000	884000	1616000		false		14	0		0			0	true		false
0001623757-22-000002	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0001623757-22-000001	2014-11-20		true					true					false		0		Indefinite	2492852918	Indefinite		false		38	1890700	true	0			0			false
0001944701-22-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06c	false		2022-08-08		false					true					false		0		3207000	3126000	81000		false		31	0		0			0			false
0001943140-22-000001	Computers			$1 - $1,000,000		06c	false			true	true	true			true						false		500000		5000000	0	5000000		false		0	0		0		No sales commissions or finder's fees are anticipated at this time.	480000	true	Proposed salary to the three directors/founders.	false
0001945531-22-000004	Residential			No Revenues		06b	false		2022-08-16		false	true							true	1 Membership type - Class A type only so far.	false		50000		250000	250000	0	Class A member brought in all $250,000	true	4	4	0	true	0	true		0	true	No fee associated with the management. The management is associate with the construction which will be the general contractor/ construction supervisor	false
0001796342-22-000003	Other Real Estate			Decline to Disclose		06c	false			true	false	true									false		250000		16300000	0	16300000	Tranche 2 Offering	false		0	0	true	0	true		1100000	true	Origination Fee and reserved QOF Management Fees paid to Pinnacle Partner Management L.L.C., Manager of Issuer.	false
0001936470-22-000003	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.7	false		2022-06-14		true					true					false		0		Indefinite	10950000	Indefinite		false		13	0		0			0			false
0001945509-22-000001	Other			$1 - $1,000,000		06b	false		2022-09-06		false	true									false		0		10000	10000	0		false		1	0		0			0			false
0001567619-22-017052	Other			Decline to Disclose		06b	false		2022-08-19		false	true							true	Series D-1 and D-2 Preferred Stock	false		0		11429879	11164880	264999		false		35	0		0			0			false
0000950103-22-015343	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.7	false			true	false	true				true					false		0		Indefinite	0	Indefinite		false		0	6044709	true	0		Sales Commissions represents an estimate of the total sales commissions to be  paid to the entities listed in item 12 above as a result of the anticipated sales of  interests in the Issuer.	0		The Issuer will pay management fees to its Investment Adviser, Amberjack Capital  Partners, L.P.	false
0001689448-22-000002	Other Energy			Decline to Disclose		06b	false		2022-08-25		true	true		true	true				true	Each unit consists of one common share and one common share purchase warrant. Each warrant is exercisable for one common share at an exercise price of CAD$.38 until August 25, 2024	true	Some of the proceeds were used in connection with a property acquisition.	0		4450569	1391359	3059210	The additional $3,059,210 may be received upon the exercise of share purchase warrants sold inside or outside the U.S. The U.S. dollar amounts are based on the Bank of Canada average rate of exchange reported on August 25, 2022 which was CDN$1.2937.	false		1	0		0			0		In the ordinary course of business, the issue may use some of the proceeds of the offering to pay salaries to certain of its executive officers and directors.	false
0000950172-22-000131	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.1, 3C.7	false			true	false	true				true			true	Limited Partnership Interests	false		0		Indefinite	0	Indefinite		false		0	0		0			0			false
0001623756-22-000002	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0001623756-22-000001	2015-03-30		true					true					false		0		Indefinite	3410900000	Indefinite		false		72	3839300	true	0			0			false
0001940860-22-000001	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.7	false		2022-08-24		false					true					false		0		Indefinite	68550000	Indefinite	Does not include non-US investor sales pursuant to Regulation S.	false		15	0		0			0			false
0001944351-22-000001	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.1, 3C.7	false		2022-09-02		true	true				true					false		0		Indefinite	5000000	Indefinite		false		2	0		0			0			false
0001623650-22-000002	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0001623650-22-000001	2014-11-20		true					true					false		0		Indefinite	8014669638	Indefinite		false		94	2370000	true	0			0			false
0000919574-22-005406	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.7	false		2022-08-23		true	true				true					false		0		Indefinite	1150000	Indefinite		false		6	0	true	0	true		0	true	The Investment Manager receives customary management fees.	false
0001085037-22-000068	Other			Decline to Disclose		06b	false		2022-08-19		false			true	true						false		0		173205	0	173205	CDN$225,000 based on the Bank of Canada exchange rate of $0.7698 on August 19, 2022.  Represents stock options to purchase 300,000 shares of common stock at an exercise price of CDN$0.75 per share.	false		1	0		0			0			false
0001941413-22-000001	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.1	false		2022-08-11		false					true					false		9000		842500	842500	0		false		34	0		0			0			false
0001079973-22-001058	Other Technology			$1,000,001 - $5,000,000		06b	false		2022-08-19		false	true		true	true						false		5000000		5000000	5000000	0	Investor purchased common stock and common stock warrants for an aggregate purchase price of $5 million.  The issuer may receive additional cash proceeds and would issue additional common shares upon the future exercise (if any) of such warrants.	false		1	0		0			0			false
0001014100-22-000051	Other			Decline to Disclose		06b	false		2022-09-01		false	true									false		0		5000000	3050000	1950000		false		6	0		0			0			false
0001936466-22-000001	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.7	false		2022-06-14		true					true					false		0		Indefinite	95210000	Indefinite		false		153	0		0			0			false
0000897069-22-000524	Other Technology			Decline to Disclose		06b	false		2022-08-22		false	true									false		0		1500000	1367770	132230	Excludes the conversion of convertible notes reported on prior Form D	false		3	0		0			0			false
0000897069-22-000523	Other Technology			Decline to Disclose		06b	false		2018-10-23		true	true	true	true	true						false		0		3632657	3632657	0		false		4	0		0			0			false
